product_name,category,size,selling_price,estimated_weight_g,monthly_sales_units,source,url,scraped,cost_of_goods_est,logistics_cost
Mamaearth Onion Hair Oil,Hair Care,100ml,399,100,18000,Estimated,https://www.amazon.in/s?k=Mamaearth+Onion+Hair+Oil,False,119.7,15
Mamaearth Onion Shampoo,Hair Care,250ml,177,250,23400,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Onion+Shampoo,True,53.1,15
Mamaearth Onion Conditioner,Hair Care,250ml,349,250,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Onion+Conditioner,True,104.7,15
Rosemary Hair Growth Oil with Rosemary & Methi Dana for Promoting Hair Growth - 100 ml,Hair Care,100ml,100,100,23400,Mamaearth Website,https://mamaearth.in/product/rosemary-hair-oil,True,30.0,15
Mamaearth Rosemary Shampoo,Hair Care,250ml,310,250,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Rosemary+Shampoo,True,93.0,15
Mamaearth Argan Hair Mask,Hair Care,200g,372,200,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Argan+Hair+Mask,True,111.6,15
Mamaearth Hair Serum,Hair Care,150ml,372,150,18000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Hair+Serum,True,111.6,15
Mamaearth Onion Hair Growth Serum,Hair Care,150ml,799,150,14400,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Onion+Hair+Growth+Serum,True,239.7,15
Mamaearth Vitamin C Face Wash,Face Care,100ml,399,100,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Vitamin+C+Face+Wash,True,119.7,15
Ubtan Natural Glow Face Wash with Turmeric & Saffron for Tan Removal – 100 ml,Face Care,100ml,100,100,26000,Mamaearth Website,https://mamaearth.in/product/ubtan-face-wash,True,30.0,15
Tea Tree Pimple Control Face Wash with Tea Tree & Salicylic for Oily & Acne-Prone Skin - 100ml,Face Care,100ml,100,100,26000,Mamaearth Website,https://mamaearth.in/product/tea-tree-face-wash,True,30.0,15
Mamaearth Aloe Vera Face Wash,Face Care,100ml,269,100,22000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Aloe+Vera+Face+Wash,True,80.7,15
Rice Dewy Bright Face Wash With Rice Water & Niacinamide for Glass Skin - 200 ml,Face Care,100ml,100,100,26000,Mamaearth Website,https://mamaearth.in/product/rice-face-wash,True,30.0,15
Mamaearth Charcoal Face Wash,Face Care,100ml,269,100,22000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Charcoal+Face+Wash,True,80.7,15
Mamaearth Bye Bye Blemishes Face Wash,Face Care,100ml,269,100,22000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Bye+Bye+Blemishes+Face+Wash,True,80.7,15
Vitamin C Daily Glow Face Cream With Vitamin C & Turmeric for Skin Illumination - 80 g,Face Care,50g,80,50,26000,Mamaearth Website,https://mamaearth.in/product/vitamin-c-face-cream,True,24.0,15
Mamaearth Ubtan Face Cream,Face Care,50g,399,50,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Ubtan+Face+Cream,True,119.7,15
Mamaearth Vitamin C Night Cream,Face Care,50g,599,50,16000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Vitamin+C+Night+Cream,True,179.7,15
Mamaearth Aqua Glow Face Cream,Face Care,50g,399,50,20000,Mamaearth Website,https://mamaearth.in/search?q=Mamaearth+Aqua+Glow+Face+Cream,True,119.7,15
